zipcode,name,open_now,place_id,rating,user_ratings_total,price_level,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,dentist,department_store,drugstore,electronics_store,establishment,finance,florist,food,furniture_store,gas_station,general_contractor,grocery_or_supermarket,gym,hair_care,hardware_store,health,home_goods_store,hospital,insurance_agency,jewelry_store,laundry,liquor_store,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,movie_theater,moving_company,night_club,park,parking,pet_store,pharmacy,plumber,point_of_interest,premise,real_estate_agency,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,veterinary_care
91303,Starbucks,True,ChIJ_RTrrSKcwoARnQMGyLOPHcg,3.9,72.0,2.0,coffee shops,91303,34.1919186,-118.6025405,"59RW+QX Canoga Park, Los Angeles, CA",856359RW+QX,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
91773,Walgreens,True,ChIJO7mu-TQvw4ARQFkKqUgVFyw,4.6,9.0,2.0,stores,91773,34.1058684,-117.8283678,"454C+8M San Dimas, California",8564454C+8M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90660,Clearman's Steak 'N Stein,True,ChIJZVS41ZrRwoAR_TOOyrxwhwE,4.6,1014.0,3.0,restaurant,90660,33.9975566,-118.0741743,"XWXG+28 Pico Rivera, California",8553XWXG+28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20310,WSS,True,ChIJE_jvo8E03YARMmVk0yI-2JU,4.2,305.0,,stores,90220,33.84704350000001,-118.2333301,"RQW8+RM Compton, California",8553RQW8+RM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
91303,Bed Bath & Beyond,True,ChIJ9fD1CRycwoARFcPs0Ivpixc,4.2,496.0,2.0,stores,91303,34.1894653,-118.5954422,"5CQ3+QR Canoga Park, Los Angeles, CA",85635CQ3+QR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28263,Catch 21 Salad Bar & Grill,True,ChIJV2uPL_19woAR_9X2v5M9Fwk,4.5,154.0,1.0,restaurant,91355,34.4409648,-118.5779608,"CCRC+9R Valencia, Santa Clarita, CA",8563CCRC+9R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
90712,Collaborative Coffee Bar,True,ChIJf0qH3wEz3YARhDzrBtGMLiY,4.9,27.0,,coffee shops,90712,33.8467007,-118.1590101,"RRWR+M9 Lakewood, California",8553RRWR+M9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90814,Aji Peruvian Cuisine,True,ChIJcyZ82ggx3YARgBN3dIRxXbc,4.4,324.0,2.0,restaurant,90804,33.7716238,-118.1641737,"QRCP+J8 Long Beach, California",8553QRCP+J8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
39180,HomeGoods,True,ChIJKYef-rpZwoARUReUfRg8Gz8,4.4,239.0,1.0,stores,93551,34.5950957,-118.1450002,"HVW3+2X Palmdale, California",8563HVW3+2X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90018,Restaurante Y Pupuseria El Maná,True,ChIJfUtq1j-4woARDLyvWwenGIw,4.4,93.0,1.0,restaurant,90018,34.0257925,-118.3228687,"2MGG+8V Los Angeles, California",85632MGG+8V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
