city,state,zipcode,name,open_now,place_id,price_level,rating,user_ratings_total,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bar,beauty_salon,bicycle_store,book_store,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,department_store,drugstore,electronics_store,establishment,finance,florist,food,funeral_home,furniture_store,gas_station,general_contractor,grocery_or_supermarket,hair_care,hardware_store,health,home_goods_store,jewelry_store,laundry,liquor_store,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,night_club,park,parking,pet_store,pharmacy,point_of_interest,premise,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,travel_agency
New York,NY,10001,Sprint Store,True,ChIJCV0vTalZwokR61PIDIe0gI0,2.0,3.4,276,stores,10001,40.750269,-73.989655,Q226+44 New York,87G8Q226+44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Duane Reade,True,ChIJJwQ3561ZwokRuYknT0uxER8,2.0,3.9,50,stores,10001,40.751744,-73.9934821,Q224+MJ New York,87G8Q224+MJ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Macy's,True,ChIJ3xjWra5ZwokRrwJ0KZ4yKNs,2.0,4.4,51032,stores,10001,40.7508025,-73.98948349999999,Q226+86 New York,87G8Q226+86,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
New York,NY,10001,Uniqlo,True,ChIJX6mEEqlZwokRtDQOWIDVc3I,1.0,4.4,3962,stores,10001,40.7494884,-73.98663239999999,P2X7+Q8 New York,87G8P2X7+Q8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,B&H Photo Video - Electronics and Camera Store,False,ChIJI93dPbJZwokRIoOEoivEDQs,,4.6,22772,stores,10001,40.7529454,-73.996337,Q233+5F New York,87G8Q233+5F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,CVS,True,ChIJhbi9_npZwokR0rqh_uP6s1U,,3.8,45,stores,10001,40.7519205,-73.9940677,Q224+Q9 New York,87G8Q224+Q9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,STORY,True,ChIJe-9pAl1ZwokRz105djEWZ84,3.0,4.5,235,stores,10001,40.7508025,-73.98948349999999,Q226+86 New York,87G8Q226+86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,H&M,True,ChIJje3Ga6lZwokR0_apS23R3RA,1.0,4.3,3040,stores,10001,40.7497991,-73.9882908,P2X6+WM New York,87G8P2X6+WM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Banana Republic Factory Store,True,ChIJKQs3CqlZwokRi46x7bjHHIU,3.0,4.3,575,stores,10001,40.7494106,-73.98577639999999,P2X7+QM New York,87G8P2X7+QM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Duane Reade,True,ChIJ1QmPAZZZwokR8PZuhgUd1l8,2.0,3.1,28,stores,10001,40.7472366,-73.9929702,P2W4+VR New York,87G8P2W4+VR,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Whole Foods Market,True,ChIJu9jzyANbwokRIb60wMQSvqQ,2.0,4.2,1935,stores,10001,40.7450809,-73.9953523,P2W3+2V New York,87G8P2W3+2V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
New York,NY,10001,Duane Reade,True,ChIJXT6iJalZwokRQ5grHUPeiOc,2.0,2.5,20,stores,10001,40.7486672,-73.9878988,P2X6+FR New York,87G8P2X6+FR,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Duane Reade,True,ChIJu6KRm6VZwokRNybQqwDQxJE,2.0,2.6,25,stores,10001,40.7451912,-73.9914616,P2W5+3C New York,87G8P2W5+3C,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,GameStop ThinkGeek,True,ChIJCWTvPalZwokRwSEEj9zfLrE,2.0,4.3,1843,stores,10001,40.7491141,-73.9877009,P2X6+JW New York,87G8P2X6+JW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,SEPHORA,True,ChIJpWqDsa5ZwokRXiFnDD_ATwo,2.0,4.0,526,stores,10001,40.7499844,-73.9887784,P2X6+XF New York,87G8P2X6+XF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Sprint Store,True,ChIJr1UyQalZwokRxP-IHEYFo5I,2.0,3.0,15,stores,10001,40.7503882,-73.9896052,Q226+55 New York,87G8Q226+55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
