zipcode,total_art_gallery,total_atm,total_bakery,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_cafe,total_car_dealer,total_car_repair,total_car_wash,total_clothing_store,total_convenience_store,total_department_store,total_drugstore,total_electronics_store,total_finance,total_florist,total_food,total_funeral_home,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_jewelry_store,total_laundry,total_liquor_store,total_local_government_office,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_night_club,total_park,total_parking,total_pet_store,total_pharmacy,total_restaurant,total_school,total_shoe_store,total_shopping_mall,total_spa,total_storage,total_store,total_supermarket,total_tourist_attraction,total_travel_agency,total_open_now_False,total_open_now_True,total_open_now_nan,mean_price_level,mean_user_ratings_total,mean_rating
07002,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,200.0,3.6
07064,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,154.0,4.1
07077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,26.0,3.6
07201,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,1.3333333333333333,495.0,4.233333333333333
07206,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,450.0,4.1
08861,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,4,0,1.0,179.0,4.125
08862,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,158.0,4.0
08879,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,437.0,4.1
10001,1,0,3,9,0,0,1,22,0,0,0,12,5,1,1,3,0,0,49,0,2,0,0,1,0,0,2,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,24,0,1,0,0,0,41,1,0,0,2,60,0,1.9814814814814814,1872.6612903225807,4.1499999999999995
10002,0,0,3,9,0,0,1,24,0,1,0,7,3,2,2,2,0,1,48,0,2,0,0,3,0,0,5,3,0,0,1,0,0,0,0,3,0,1,0,0,0,1,29,0,0,0,0,0,41,2,0,0,8,52,0,1.75,715.0833333333334,4.278333333333335
10003,0,0,2,11,0,0,1,29,0,0,0,5,7,1,5,3,3,1,56,0,2,0,0,2,0,1,7,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,47,2,0,0,2,63,0,2.076923076923077,740.3230769230769,4.078461538461538
10004,0,0,5,14,0,0,0,17,0,0,0,4,3,0,0,1,1,0,44,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,1,2,0,0,0,0,0,0,27,0,1,0,0,0,30,0,0,0,7,44,0,2.0,400.2352941176471,3.9823529411764707
10005,0,0,2,5,0,0,0,14,0,0,0,7,3,2,0,2,0,0,37,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,0,0,0,0,1,0,21,0,2,0,0,0,30,0,0,0,10,36,4,1.7575757575757576,209.24,3.8260000000000014
10006,0,0,2,7,0,0,0,11,0,0,0,4,1,2,0,2,1,0,30,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,4,0,0,0,0,1,0,22,0,1,0,0,0,26,0,0,0,3,37,5,1.9310344827586208,336.6,3.9488888888888907
10007,0,0,4,8,0,0,0,20,0,0,0,6,4,3,0,3,0,0,44,0,3,0,0,2,0,0,0,4,0,0,2,0,0,0,1,3,0,1,0,0,0,0,24,0,1,0,0,0,38,0,0,0,5,50,1,1.9591836734693877,734.3392857142857,4.114285714285715
