zipcode,population,population_density_square_miles,housing_units,home_price_to_income_ratios
90001,58975,16838.6,14294,8.72511097842735
90002,53111,17345.1,13334,8.641626659135838
90003,72741,20483.3,18137,8.802987159512169
90004,61586,20204.8,24883,20.798293473356033
90005,39479,36419.6,17818,20.88821872599505
90006,61698,32137.8,20880,16.528762249018666
90007,41716,16908.7,12914,23.019900103068263
90008,31739,8640.9,16087,15.949582779963414
90010,3702,8095.1,2294,14.17646202848874
90011,109414,25528.8,25200,9.484764842777507
90012,35913,11099.6,13452,11.718509757539918
90013,11937,17791.9,8226,26.1902565048902
90014,8335,29433.5,6115,15.224363443679058
90015,21801,12744.7,10609,16.74441254869797
90016,46581,12842.6,18331,11.240359897172237
90017,26728,36800.8,12036,19.934442923972885
90018,53256,18390.2,17444,12.143267573261827
90019,66245,17038.0,26383,16.28503562945368
90020,39102,34594.2,18501,12.910717357646654
90021,2922,1411.3,2059,58.78935903359958
90022,65890,15037.8,18328,8.615044043720888
90023,46780,11074.4,12038,9.513895613440496
90024,50288,17125.5,19444,18.540106782927367
90025,47967,18669.5,23329,9.720877413185105
90026,69589,16474.8,27514,12.786912199934232
90027,44686,5493.8,23848,16.721536565196363
90028,30734,20162.9,19555,16.53711532342379
90029,37898,27830.5,15214,16.9809413073151
90031,38535,11158.6,12281,10.867555194731976
90032,47627,9990.3,14172,9.1823726686148
90033,47583,14563.1,14061,11.069539777202655
90034,55652,17884.1,27712,12.623606143488324
90035,28085,13713.0,14066,12.932833756632384
90036,37988,15377.8,20661,15.302846983876146
90037,65016,22916.0,18358,10.925685255198488
90038,27660,17657.2,13295,19.037615046018406
90039,29589,7848.0,12288,9.403587079076146
90040,12645,2265.7,3663,8.202957104788103
90041,29516,8181.5,10191,8.67568003774194
90042,63911,13752.0,21653,9.652529039600978
90043,44627,10796.3,18472,10.307368421052631
90044,96436,18774.4,29921,10.501005508437528
90045,41149,3834.5,16897,9.438912531504359
90046,50587,8745.6,31966,16.969867143511607
90047,48883,10333.5,18426,8.315605451060513
90048,22892,12139.4,13382,13.051881887034256
90049,36964,2461.1,18167,15.666867724701937
90056,7795,4935.0,3540,10.86527293844367
90057,49492,55884.9,18262,12.50110746876938
90058,2758,474.9,800,14.96520827375846
90059,45952,13868.2,11159,7.648529586855578
90061,27646,10386.4,7649,8.364578877173557
90062,34422,17800.8,10467,8.754321400691424
90063,52951,16180.8,14377,8.096453778988694
90064,25429,6339.7,11734,11.62989620820946
90065,47887,9071.6,16302,10.31402917003183
90066,59394,12068.9,26218,12.665638276350395
90067,2314,7051.6,1962,8.052217221165298
90068,20982,2708.1,13972,13.99183342088925
90069,20435,9665.6,14534,9.074576125311989
90077,8993,1226.4,3839,9.486185748910275
90094,9368,15366.1,4668,6.704254228600718
90201,102433,17252.3,24723,9.203644539107797
90210,19909,1966.4,9843,13.933211185576347
90211,7969,11378.1,4507,19.026419500802803
90212,13156,13771.9,6711,21.311521002493446
90220,53703,7771.1,14142,5.464177224568423
90221,52322,9813.4,12651,6.802428120257578
90222,32850,12766.7,8292,7.038893387905185
90230,32808,7275.7,13782,8.626994062744028
90232,14660,6960.6,6831,12.453142495496811
90240,26205,8901.3,7751,6.98121418727787
90241,44143,8964.8,14029,7.812950885900618
90242,42553,9349.5,12693,7.223678032081674
90245,16850,3084.4,6975,9.813486079766832
90247,47531,12660.4,16647,8.331062935429884
90248,11512,2452.5,3977,7.277376606249699
90249,26587,8928.2,8993,7.579711599585131
90250,96836,14464.5,33467,9.633604112338892
90254,19650,13773.0,10049,9.893722483016008
90255,75560,20321.3,19016,8.858411028392945
90260,35161,13119.5,11091,8.147049817074153
90262,70936,14677.3,15851,7.46169755627397
90266,35573,9037.1,15363,12.978818387159105
90270,27454,21759.3,6857,9.446680080482897
90272,22551,987.7,9765,10.301265509835128
90274,25279,2111.8,10144,9.510800860862219
90275,42421,3137.1,16838,8.371383940641053
90277,34506,9633.4,17607,9.991102941895367
90278,40649,11280.6,16305,7.022033898305085
90280,95103,13018.7,24385,7.481192532738924
90290,5371,267.9,2567,8.405875264395325
90291,27525,11016.9,15640,16.58113511805533
90292,22490,11046.9,14360,8.646630303474026
90293,12694,4440.6,7059,7.121127519879854
90301,37291,15051.6,12686,8.98379970544919
90302,30828,16282.8,11438,8.574472974949334
90303,24693,11088.8,7524,8.434117133906975
90304,25591,16335.1,6772,9.18696998250101
90305,15397,6661.6,6211,6.334364739423584
90401,7256,8550.1,5475,15.121034142057306
90402,11866,5921.6,5914,13.595183228990354
90403,24354,17060.2,14709,10.286486234685796
90404,22819,11451.2,10697,10.752316507358318
90405,28115,10625.8,15156,13.808949029074816
90501,42335,7527.8,15534,8.805592109917788
90502,18188,8137.0,6415,6.154044454628781
90503,44908,8477.3,17890,8.337217819804222
90504,33721,7576.2,12333,7.048045931864653
90505,37641,6496.9,14867,8.619496628006651
90601,33058,2913.4,11513,6.739259179498223
90602,25981,7001.7,8081,9.87957921033628
90603,21299,6514.8,6863,5.938012446400016
90604,42063,9871.2,12649,6.89786531596992
90605,40957,7246.7,10764,5.946410850148859
90606,32803,8671.3,9026,6.067383918459796
90640,63177,7440.8,20502,8.715844446516833
90650,105886,10793.4,28475,6.175793417904384
90660,63380,8178.4,17229,6.326104515598092
90670,16578,1959.0,5038,6.404444444444445
90701,16858,10342.2,4861,7.9367318786054675
90704,3922,52.4,2495,10.230852952970155
90706,77529,12689.6,25209,7.827163595255612
90710,28185,11972.9,9495,7.838908671447916
90712,31063,7252.9,11027,5.691457881238903
90713,29061,8562.8,9544,5.643550513322414
90715,20136,11841.4,6389,6.148782637435276
90716,14344,15403.7,3970,7.583610188261351
90717,21696,10951.2,8932,8.439624005784527
90723,54776,11692.7,15041,6.102091229658124
90731,61850,6753.8,24571,10.801196223686011
90732,22273,6500.4,9194,5.994835157105678
90744,57206,6860.6,15174,7.836570663094441
90745,56821,6846.3,15673,5.468249924886677
90746,26996,4628.3,8244,5.467150952995043
90755,11555,5302.8,4776,6.4536648069863904
90802,39453,6082.5,22796,7.228531804040631
90803,32389,8031.3,18166,9.754182314783202
90804,39344,18608.9,15728,9.558764540714
90805,96708,13126.3,28113,7.593680372695969
90806,42817,12439.6,13323,8.748648973219646
90807,32067,5493.0,13245,7.514711955399545
90810,38579,5761.3,9578,6.627076340476806
90813,59000,18383.6,18179,10.112266112266113
90814,18587,13722.8,9649,9.427913034766055
91001,37711,4567.8,13785,7.059793059243659
91006,33012,5225.0,11378,9.53539164102055
91007,34523,6210.5,12800,12.67245465658758
91008,1141,563.6,563,13.616209571446738
91010,26601,3778.5,8419,6.156311739268593
91011,20423,1723.0,7030,8.689996903065964
91016,41671,4908.8,15173,8.299584210810519
91020,8720,11595.4,3829,8.066198079605629
91024,11006,3727.7,5075,9.566387250336334
91030,25794,7561.9,10878,10.186985479667397
91040,20207,2463.3,7717,6.634122528679522
91042,26631,533.8,10617,9.537535806294702
91101,21394,16085.4,12253,7.979631662397853
91103,28425,5276.1,9088,9.726465775641119
91104,37974,9978.5,13826,9.439137425517828
91105,12191,3302.1,6153,8.893806389677588
91106,25375,8615.0,11832,8.88393468757395
91107,32364,3933.1,13752,8.390672383143364
91108,13538,3552.6,5171,11.722388660909846
91201,23619,10032.1,8600,12.233639059375216
91202,23317,11376.3,9224,10.307590237291963
91203,15000,18325.4,6081,8.870085868454547
91204,18720,16655.0,6630,10.624378384351862
91205,37618,19893.9,15074,12.451735246407274
91206,34386,5845.6,14079,11.920845585313518
91207,11371,2501.4,4374,11.685622135460873
91208,16049,2325.3,6127,8.4273919378339
91210,689,15652.6,371,3.1761755485893417
91214,30654,4062.0,10893,7.27751552795031
91301,25631,751.6,9736,6.4507375795549855
91302,26634,997.2,9872,9.302721746873669
91303,31053,14353.9,10342,7.841465626700526
91306,49158,11878.8,15039,6.9943567755529035
91316,29964,5984.2,12903,8.965165994290386
91321,34355,1327.4,11338,6.537751885051794
91324,29617,6747.4,10538,7.745987438939288
91325,34635,7178.3,12475,9.30479881122345
91326,37035,4539.0,13533,6.37753067824392
91331,105799,11951.0,23978,6.487740225314778
91335,80524,12266.5,25052,7.6010130269975
91340,36227,10714.3,9288,7.4527667836606675
91342,96487,1750.8,26263,6.120731463783414
91343,66590,11264.9,18357,7.731999808889809
91344,53266,3245.9,17690,6.435428992479899
91345,19205,5925.9,5516,5.815530018823467
91350,37350,2204.1,11735,4.47880423205283
91351,32572,3403.1,10149,5.1283008072440515
91352,47438,4065.6,13081,8.23712778875256
91354,32096,3678.5,10475,4.5292813582321525
91355,31455,2029.2,12221,5.709385483296838
91356,30804,4199.9,12669,11.776934322232803
91364,27340,3600.7,11449,7.829353782993474
91367,45282,6093.9,19188,7.594157287996443
91381,20371,541.6,6837,5.228742888317356
91384,28842,265.6,7138,4.549407041497845
91387,43717,882.7,13800,5.394048632689394
91390,19053,133.1,6427,4.957092985261999
