zipcode,population,population_density_square_miles,housing_units,home_price_to_income_ratios
10001,22924,37306.6,14141,3.8790863701059575
10002,74993,85369.8,35724,18.550433642879053
10003,54682,94859.6,30876,8.928842157833248
10004,3028,5622.9,2139,10.40692695613562
10005,8831,121496.4,5585,8.165784934201797
10006,3454,37014.1,2343,6.470354609929078
10007,7023,44029.0,3366,8.10330493126375
10009,57925,93905.6,31293,9.883343081822318
10010,33730,88379.6,18535,6.6840226249332195
10011,50472,76262.9,33707,7.4969093326491105
10012,23411,72416.2,14052,15.310399222282344
10013,28709,52176.5,14144,18.96778323628156
10014,30738,55916.6,21531,8.602617672846186
10016,51057,95951.4,34638,6.630542545553999
10017,15801,49849.9,12650,4.998196163317805
10018,9687,30002.0,5940,6.827405108617809
10019,43703,62718.5,33077,9.285360152985339
10021,46215,121297.4,30729,10.470119791358453
10022,31125,72810.3,24206,6.858595037048529
10023,62435,127409.5,41492,8.620028822862048
10024,59001,68752.4,34032,11.699881520187137
10025,92805,123470.6,48359,11.886419178401024
10026,39363,118443.8,17091,14.180422525643639
10027,64548,74280.2,26506,14.945893782664324
10028,47793,152562.2,28983,9.73549624420649
10029,79597,98058.8,34108,20.378645343367825
10030,29882,107115.2,13940,16.289750752041254
10031,60254,92805.8,23802,8.358220921609108
10032,64264,98152.9,22574,9.91446885356512
10033,59607,99980.2,20794,8.45872999624663
10034,42910,39355.3,16650,6.261422618612472
10035,35743,25093.7,15531,19.70679166251122
10036,27428,62443.4,19779,10.625870170553428
10037,21139,82131.9,10583,9.37146155724784
10038,22800,76365.6,11720,9.149643263845313
10039,27726,63397.4,11939,11.57289486293597
10040,44571,116782.2,17282,8.369221630566221
10044,11682,50775.4,5427,6.889616789956293
10065,28109,73936.2,21156,12.15701668302257
10069,5085,52882.6,3402,18.079105084745763
10075,21556,117012.2,12599,7.660449448033482
10128,59256,127237.0,34790,8.967634418033505
10280,9384,81760.2,5234,5.360801676832859
10301,38733,10918.0,16366,8.146661409985304
10302,18204,15312.2,6877,5.8889599550723055
10303,25947,8253.8,9175,5.326257233287509
10304,41064,11014.6,15972,9.03082434529397
10305,42298,10631.3,16068,5.758998025859928
10306,53142,7109.4,21594,6.043811031934547
10307,15232,8280.8,5541,8.191067212243334
10308,30186,15330.9,11294,5.257388546555559
10309,33531,5037.6,11875,5.526532590259269
10310,23262,12957.8,9376,6.262743955723857
10312,61741,8143.6,22465,5.448960700159892
10314,90761,6634.5,33268,5.5947522538101495
10451,47798,46447.4,19884,4.688634556204834
10452,76078,76975.8,27121,8.416734448491708
10453,79606,86902.9,28530,16.902077151335313
10454,38203,36451.7,13942,20.341387299635915
10455,42283,59295.0,15066,12.312973396515055
10456,94218,92585.0,32349,12.735187781303033
10457,74554,70392.0,25867,13.7345003646973
10458,83960,83517.6,29042,11.299068725686668
10459,48351,58950.1,17792,14.064362336114423
10460,59505,45341.2,21458,15.361423360381151
10461,50348,21026.2,20277,7.968275277326362
10462,76756,52066.9,31120,5.724207674254422
10463,71360,49208.9,29973,4.908541271711841
