Zip (ZCTA),State,County,City,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Margin of Error,Per capita income in the past 12 months (in 2018 Inflation-adjusted dollars),Margin of Error,Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
10001,New York,New York,New York,"$88,526 ","$8,060 ","$84,765 ","$8,375 ","22,924","37,306.6","14,141","$343,400 "
10002,New York,New York,New York,"$35,859 ","$2,149 ","$32,694 ","$1,602 ","74,993","85,369.8","35,724","$665,200 "
10003,New York,New York,New York,"$112,131 ","$13,190 ","$92,781 ","$5,662 ","54,682","94,859.6","30,876","$1,001,200 "
10004,New York,New York,New York,"$157,645 ","$17,195 ","$122,165 ","$18,985 ","3,028","5,622.9","2,139","$1,640,600 "
10005,New York,New York,New York,"$173,333 ","$33,390 ","$106,702 ","$12,006 ","8,831","121,496.4","5,585","$1,415,400 "
10006,New York,New York,New York,"$176,250 ","$23,813 ","$114,611 ","$17,460 ","3,454","37,014.1","2,343","$1,140,400 "
10007,New York,New York,New York,"$246,813 ","$48,436 ","$147,547 ","$16,876 ","7,023","44,029.0","3,366","$2,000,001 "
10009,New York,New York,New York,"$61,548 ","$4,133 ","$51,655 ","$2,777 ","57,925","93,905.6","31,293","$608,300 "
10010,New York,New York,New York,"$117,923 ","$10,782 ","$93,605 ","$6,627 ","33,730","88,379.6","18,535","$788,200 "
10011,New York,New York,New York,"$128,613 ","$9,947 ","$121,991 ","$8,838 ","50,472","76,262.9","33,707","$964,200 "
10012,New York,New York,New York,"$109,037 ","$7,793 ","$90,389 ","$6,823 ","23,411","72,416.2","14,052","$1,669,400 "
10013,New York,New York,New York,"$105,442 ","$9,196 ","$111,109 ","$11,673 ","28,709","52,176.5","14,144","$2,000,001 "
10014,New York,New York,New York,"$126,601 ","$9,872 ","$123,235 ","$6,484 ","30,738","55,916.6","21,531","$1,089,100 "
10016,New York,New York,New York,"$117,004 ","$8,954 ","$98,378 ","$5,380 ","51,057","95,951.4","34,638","$775,800 "
10017,New York,New York,New York,"$127,506 ","$13,029 ","$111,185 ","$8,603 ","15,801","49,849.9","12,650","$637,300 "
10018,New York,New York,New York,"$108,914 ","$12,194 ","$86,150 ","$9,487 ","9,687","30,002.0","5,940","$743,600 "
10019,New York,New York,New York,"$98,833 ","$5,881 ","$97,327 ","$7,358 ","43,703","62,718.5","33,077","$917,700 "
10021,New York,New York,New York,"$118,289 ","$14,128 ","$121,529 ","$9,789 ","46,215","121,297.4","30,729","$1,238,500 "
10022,New York,New York,New York,"$135,363 ","$16,706 ","$146,464 ","$12,938 ","31,125","72,810.3","24,206","$928,400 "
10023,New York,New York,New York,"$130,452 ","$9,298 ","$119,276 ","$6,882 ","62,435","127,409.5","41,492","$1,124,500 "
