zipcode,name,place_id,rating,user_ratings_total,price_level,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,dentist,department_store,drugstore,electronics_store,establishment,finance,florist,food,furniture_store,gas_station,general_contractor,grocery_or_supermarket,gym,hair_care,hardware_store,health,home_goods_store,hospital,insurance_agency,jewelry_store,laundry,liquor_store,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,movie_theater,moving_company,night_club,park,parking,pet_store,pharmacy,plumber,point_of_interest,premise,real_estate_agency,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,veterinary_care,population,population_density_square_miles,housing_units,home_price_to_income_ratios,price_level*rating,avg_price_level_by_zipcode,avg_rating_by_zipcode,avg_user_ratings_total_by_zipcode,total_number_of_bars_by_zipcode,total_number_of_cafes_by_zipcode,user_ratings_total_per_capita,rating_weighed_population_density,open_now_False,open_now_True,open_now_nan
91732.0,Cetana Mon Myanmar Restaurant,ChIJkY_9mqzQwoARDzouctx1AQI,4.4,66.0,1.0,restaurant,91732,34.0767174,-118.020701,"3XGH+MP El Monte, California",85633XGH+MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,63572,13770.4,16565,8.321932985221295,4.4,1.1428571428571428,4.4,193.0,1,4,0.001038192915119864,60589.76,0,1,0
90033.0,Pet Care Inc.,ChIJmdTz-gfGwoARpH5qiQ5EEtQ,4.0,68.0,,stores,90033,34.045999,-118.2065706,"2QWV+99 Los Angeles, California",85632QWV+99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,47583,14563.1,14061,11.069539777202657,,1.4782608695652173,4.038636363636363,315.0,1,9,0.0014290818149339049,58252.4,0,1,0
90254.0,Zane's Restaurant,ChIJEUmtJnmzwoARX4Ok7O8ATAI,4.4,168.0,2.0,restaurant,90254,33.86210429999999,-118.39975120000001,"VJ62+R3 Hermosa Beach, California",8553VJ62+R3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19650,13773.0,10049,9.893722483016008,8.8,1.8,4.4156862745098024,177.8235294117647,5,10,0.008549618320610687,60601.200000000004,0,1,0
91803.0,Carpet King,ChIJd1M_NAXFwoARdMX7ivIQ-Ws,4.3,6.0,,stores,91803,34.0830698,-118.1479614,"3VM2+6R Alhambra, California",85633VM2+6R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30385,9303.1,10222,9.764214988243864,,1.5862068965517242,4.128571428571429,545.1666666666666,0,3,0.00019746585486259667,40003.33,0,1,0
90033.0,Cesar Dollar Store,ChIJg5cm9QjGwoARtvY3pczKW5I,5.0,1.0,,stores,90033,34.0471662,-118.208952,"2QWR+VC Los Angeles, California",85632QWR+VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,47583,14563.1,14061,11.069539777202657,,1.4782608695652173,4.038636363636363,315.0,1,9,2.101590904314566e-05,72815.5,0,0,1
90245.0,Rock & Brews,ChIJEXnq_kGxwoARoLYGrTjgzd8,4.4,1729.0,2.0,restaurant,90245,33.917672100000004,-118.4162167,"WH9M+3G El Segundo, California",8553WH9M+3G,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16850,3084.4,6975,9.813486079766832,8.8,1.875,4.362264150943397,446.9056603773585,7,16,0.1026112759643917,13571.360000000002,0,1,0
90034.0,Govinda's,ChIJNTpxwiu6woAR6Bz-dtN8TDo,4.7,271.0,1.0,restaurant,90034,34.02527,-118.397144,"2JG3+44 Los Angeles, California",85632JG3+44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,55652,17884.1,27712,12.623606143488324,4.7,1.6956521739130435,4.148484848484848,299.6666666666667,1,9,0.0048695464673327105,84055.26999999999,0,1,0
90254.0,Plaza Hermosa,ChIJ-aHLjH-zwoAR37dyrv6NNpc,4.4,455.0,,stores,90254,33.8654156,-118.3945382,"VJ84+55 Hermosa Beach, California",8553VJ84+55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,19650,13773.0,10049,9.893722483016008,,1.8,4.4156862745098024,177.8235294117647,5,10,0.023155216284987276,60601.200000000004,0,1,0
91754.0,Elite Restaurant,ChIJexZgqorPwoARwEMLbCO2B6I,4.0,417.0,2.0,restaurant,91754,34.0536884,-118.1358618,"3V37+FM Monterey Park, California",85633V37+FM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,33058,7290.0,12163,9.855462073314417,8.0,1.4878048780487805,4.1557692307692315,391.0769230769231,1,12,0.012614193236130437,29160.0,0,1,0
91340.0,Starbucks,ChIJqe2po0qQwoARpcQFyEN0ow0,4.2,905.0,2.0,coffee shops,91331,34.284575,-118.441625,"7HM5+R8 San Fernando, California",85637HM5+R8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,36227,10714.3,9288,7.4527667836606675,8.4,1.75,4.223076923076923,288.20512820512823,1,2,0.024981367488337427,45000.06,0,1,0
