zipcode,total_art_gallery,total_atm,total_bakery,total_bank,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_bowling_alley,total_cafe,total_car_dealer,total_car_repair,total_car_wash,total_clothing_store,total_convenience_store,total_dentist,total_department_store,total_drugstore,total_electronics_store,total_finance,total_florist,total_food,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_gym,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_hospital,total_insurance_agency,total_jewelry_store,total_laundry,total_liquor_store,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_movie_theater,total_moving_company,total_night_club,total_park,total_parking,total_pet_store,total_pharmacy,total_plumber,total_real_estate_agency,total_restaurant,total_school,total_shoe_store,total_shopping_mall,total_spa,total_storage,total_store,total_supermarket,total_tourist_attraction,total_veterinary_care,total_open_now_False,total_open_now_True,total_open_now_nan,mean_user_ratings_total,mean_rating,mean_price_level,mean_Unnamed: 0,population,population_density_square_miles,housing_units,price_level*rating,user_ratings_total_per_capita,rating*population_density,log_home_price_to_income_ratios
90650,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6.0,4.2,,7042.0,105886,10793.4,28475,,5.666471488204295e-05,45332.28,1.820637362989526
91731,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1,0,0,1,0,0,0,11,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,11,0,0,0,1,14,0,343.3333333333333,4.233333333333333,1.5714285714285714,13660.933333333332,30139,7899.6,8732,6.652380952380953,0.011391663072209872,33441.64,2.389753039669142
91702,0,0,1,0,1,0,0,0,0,13,0,1,0,3,7,0,3,4,1,0,0,43,3,0,1,3,0,1,1,5,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,31,1,0,0,6,47,0,389.81132075471703,4.2433962264150935,1.4324324324324325,13017.037735849055,62348,368.2,16587,6.078378378378377,0.006252186449520707,1562.4184905660375,1.830243255415359
91745,0,1,2,0,1,0,0,1,0,10,0,0,1,1,4,0,0,2,0,1,1,25,2,2,0,2,0,0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,16,0,0,0,0,28,1,224.4482758620689,3.9344827586206903,1.45,14017.62068965517,54975,4292.2,17066,5.705000000000001,0.0040827335309153055,16887.586896551726,1.9132085225166025
91601,0,0,0,0,1,0,0,1,0,7,0,0,0,2,1,0,0,1,2,0,0,15,3,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,16,0,0,0,3,20,0,276.7826086956522,4.213043478260869,1.4,12779.608695652172,37085,13992.5,18338,5.898260869565216,0.007463465247287372,58951.01086956521,2.4466675799843824
90062,0,0,0,0,0,0,1,0,0,2,0,1,0,1,2,0,0,0,1,0,0,14,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,15,0,0,0,4,17,2,268.69565217391306,3.9956521739130433,1.1111111111111112,3045.521739130435,34422,17800.8,10467,4.4396135265700485,0.007805927958105661,71125.8052173913,2.169547452818452
90038,2,1,2,0,6,0,0,1,0,8,0,0,0,5,3,0,0,1,1,1,1,38,3,0,0,5,0,0,0,4,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,25,2,0,0,12,33,1,321.45652173913044,4.471739130434782,2.2916666666666665,1686.7608695652175,27660,17657.2,13295,10.247735507246375,0.011621710836555691,78958.39217391305,2.946416761329398
91104,0,0,2,0,2,0,0,1,0,9,0,1,0,2,3,0,0,2,3,1,0,35,1,0,0,4,0,0,0,2,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,25,0,0,0,5,39,0,202.47727272727272,4.3568181818181815,1.5185185185185186,9282.931818181818,37974,9978.5,13826,6.615909090909091,0.005331997491106355,43474.51022727272,2.244864601567029
91791,0,0,3,0,6,0,1,1,0,7,0,2,0,5,2,0,3,1,4,1,0,32,6,0,0,5,0,0,0,1,8,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,27,2,0,0,1,42,0,558.5348837209302,4.095348837209301,1.65625,14735.697674418603,34363,5179.3,10628,6.782921511627905,0.016253961636671137,21211.040232558134,1.946563380366555
90272,0,0,0,0,1,0,0,0,0,4,0,0,0,1,1,0,0,1,1,0,0,13,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,3,14,0,60.941176470588225,4.411764705882354,2.0,5102.117647058823,22551,987.7,9765,8.823529411764708,0.0027023713569503892,4357.500000000002,2.3322667527208365
