zipcode,total_accounting,total_airport,total_amusement_park,total_art_gallery,total_atm,total_bakery,total_bank,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_bowling_alley,total_cafe,total_campground,total_car_dealer,total_car_rental,total_car_repair,total_car_wash,total_casino,total_cemetery,total_church,total_clothing_store,total_convenience_store,total_courthouse,total_dentist,total_department_store,total_doctor,total_drugstore,total_electrician,total_electronics_store,total_finance,total_fire_station,total_florist,total_food,total_funeral_home,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_gym,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_hospital,total_insurance_agency,total_jewelry_store,total_laundry,total_library,total_liquor_store,total_local_government_office,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_movie_theater,total_moving_company,total_museum,total_natural_feature,total_night_club,total_painter,total_park,total_parking,total_pet_store,total_pharmacy,total_place_of_worship,total_plumber,total_post_office,total_primary_school,total_real_estate_agency,total_restaurant,total_roofing_contractor,total_route,total_rv_park,total_school,total_shoe_store,total_shopping_mall,total_spa,total_stadium,total_storage,total_store,total_subpremise,total_supermarket,total_tourist_attraction,total_train_station,total_transit_station,total_travel_agency,total_university,total_veterinary_care,total_zoo,total_open_now_False,total_open_now_True,total_open_now_nan,mean_price_level,mean_rating,mean_user_ratings_total,population,population_density_square_miles,housing_units,price_level*rating,user_ratings_total_per_capita,rating_weighed_population_density,log_home_price_to_income_ratios
14870,0,0,0,0,0,2,0,4,0,0,0,0,5,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,22,0,2,2,1,6,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,25,0,1,0,0,0,0,0,0,0,24,10,0,1.3333333333333333,4.138235294117647,243.17647058823533,9565,156.0,4311,5.5176470588235285,0.02542357246087144,645.5647058823529,0.7845359707944128
11417,0,0,0,0,0,2,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,1,3,0,0,1,0,2,0,2,0,0,0,27,0,2,0,0,0,0,0,2,3,4,0,0,0,0,0,3,0,0,0,12,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,14,24,0,1.375,4.16578947368421,341.2105263157895,31927,28529.5,9764,5.727960526315789,0.010687209143226406,118847.89078947368,1.8814857659938093
10462,0,0,0,0,0,4,0,3,0,0,0,0,12,0,0,0,1,0,0,0,0,4,5,0,0,2,0,4,0,5,1,0,0,38,0,5,0,0,1,0,0,2,4,5,0,0,2,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,2,0,0,0,1,33,0,1,0,0,0,0,0,0,0,19,33,2,1.55,4.0,451.72222222222223,76756,52066.9,31120,6.2,0.005885171481346373,208267.6,1.74470414235234
14206,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,9,0,0,1,0,4,0,1,2,0,0,35,0,0,0,0,4,0,0,0,4,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,25,15,3,1.4,4.0930232558139545,156.06976744186048,19869,4100.6,10479,5.730232558139536,0.007854938217417106,16783.851162790703,0.6624809292928885
12765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,1,1,1.3333333333333333,3.671428571428572,38.0,1095,87.6,419,4.895238095238096,0.034703196347031964,321.6171428571429,0.9573539028860555
13827,0,0,0,0,0,4,0,5,0,0,1,0,7,0,0,0,2,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,37,0,2,1,0,5,0,0,1,2,5,0,0,4,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,31,0,3,0,0,0,0,0,0,0,44,7,3,1.2083333333333333,4.4,147.9259259259259,11315,123.7,5756,5.316666666666666,0.013073435786648333,544.2800000000001,0.68317910615434
12434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,1,2.0,3.4000000000000004,6.75,754,54.8,519,6.800000000000001,0.008952254641909815,186.32000000000002,1.0212524666567846
13668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,4,1.25,3.2384615384615385,63.53846153846154,3291,89.5,1612,4.048076923076923,0.019306733983124137,289.8423076923077,0.4110471612816154
12577,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,5,1,1.6666666666666667,4.675,74.5,1972,335.9,663,7.791666666666667,0.0377789046653144,1570.3324999999998,0.7870954863676769
13316,0,0,0,0,2,2,0,5,0,0,0,1,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,19,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,11,5,1.4285714285714286,3.75,70.95833333333333,6179,38.1,3110,5.357142857142858,0.011483789178399956,142.875,0.8740268066135972
13630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1.0,4.74,98.6,1451,30.2,611,4.74,0.06795313576843556,143.148,0.7223858632874717
