zipcode,name,place_id,price_level,rating,user_ratings_total,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bar,beauty_salon,bicycle_store,book_store,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,department_store,drugstore,electronics_store,establishment,finance,florist,food,funeral_home,furniture_store,gas_station,general_contractor,grocery_or_supermarket,hair_care,hardware_store,health,home_goods_store,jewelry_store,laundry,liquor_store,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,night_club,park,parking,pet_store,pharmacy,point_of_interest,premise,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,travel_agency,population,population_density_square_miles,housing_units,home_price_to_income_ratios,price_level*rating,avg_price_level_by_zipcode,avg_rating_by_zipcode,avg_user_ratings_total_by_zipcode,total_number_of_bars_by_zipcode,total_number_of_cafes_by_zipcode,user_ratings_total_per_capita,rating_weighed_population_density,open_now_False,open_now_True,open_now_nan
10075,Kobe,ChIJRXBFY7hYwokRlE627pWPn8I,2.0,4.4,47,restaurant,10075,40.770817,-73.9506825,Q2CX+8P New York,87G8Q2CX+8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,21556,117012.2,12599,7.660449448033482,8.8,2.0294117647058822,4.128846153846155,190.67307692307693,8,10,0.002180367415104843,514853.68000000005,0,1,0
10463,Starbucks,ChIJUdrWy5bzwokRrqqaID530ss,2.0,4.3,353,coffee shops,10034,40.877577,-73.905557,"V3HV+2Q The Bronx, New York",87G8V3HV+2Q,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,71360,49208.9,29973,4.908541271711841,8.6,1.697674418604651,4.069811320754717,404.811320754717,9,14,0.004946748878923767,211598.27,0,1,0
10128,Marjory Warren Boutique,ChIJFc7cwqJYwokRVxG2yMPoyzk,,4.7,6,stores,10128,40.786339500000004,-73.95168050000001,Q2PX+G8 New York,87G8Q2PX+G8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,59256,127237.0,34790,8.967634418033505,,2.051282051282051,4.1923076923076925,212.48076923076923,7,12,0.0001012555690562981,598013.9,0,1,0
11103,Express,ChIJlb-Qoj5fwokRSfIz2xtdp5o,2.0,4.2,206,stores,11103,40.761100799999994,-73.91698099999998,"Q36M+C6 Astoria, Queens, NY",87G8Q36M+C6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,36140,50794.4,18016,11.095090779288045,8.4,1.7894736842105263,4.2672727272727276,216.47272727272727,5,14,0.00570005534034311,213336.48,0,1,0
10462,Marshalls,ChIJ5RbVVb_0wokRB0bFujNzRb8,,4.0,1215,stores,10462,40.836358600000004,-73.8600828,"R4PQ+GX The Bronx, New York",87G8R4PQ+GX,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,76756,52066.9,31120,5.724207674254424,,1.5,3.9538461538461536,461.7307692307692,3,12,0.0158293814164365,208267.6,0,1,0
10466,Dunkin',ChIJhzzP6dnywokRSOzSLoYpX8M,1.0,3.8,81,coffee shops,10466,40.8983896,-73.8546427,"V4XW+94 The Bronx, New York",87G8V4XW+94,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,72479,35994.6,25110,8.211434232764146,3.8,1.380952380952381,3.7444444444444445,164.66666666666666,2,4,0.0011175650878185405,136779.47999999998,0,1,0
10016,Lucid Cafe,ChIJf1Y5pQZZwokR-RLBsc-m67I,1.0,4.5,126,coffee shops,10016,40.7487042,-73.97779320000001,P2XC+FV New York,87G8P2XC+FV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,51057,95951.4,34638,6.630542545553999,4.5,2.022727272727273,4.1796610169491535,381.33898305084745,14,21,0.0024678300722721664,431781.3,1,0,0
10025,Buceo 95,ChIJI2zQ4if2wokRRGvvx2mUd9I,2.0,4.3,238,restaurant,10025,40.79361110000001,-73.97111109999999,Q2VH+CH New York,87G8Q2VH+CH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,92805,123470.6,48359,11.886419178401024,8.6,1.7826086956521738,4.052542372881357,258.3220338983051,7,19,0.002564516998006573,530923.58,0,1,0
10308,Giuliana's,ChIJNxTtvEpKwokRSS-9_PbvSfM,2.0,4.7,213,restaurant,10308,40.539821999999994,-74.1485189,GVQ2+WH New York,87G7GVQ2+WH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,30186,15330.9,11294,5.257388546555559,9.4,1.7777777777777777,4.25813953488372,164.02325581395348,6,5,0.007056251242297754,72055.23,0,1,0
10314,Walgreens,ChIJi7dOU8ZfwokRIv7L5NBupko,2.0,4.1,48,stores,11368,40.7495092,-73.8623191,"P4XQ+R3 Corona, Queens, NY",87G8P4XQ+R3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,90761,6634.5,33268,5.5947522538101495,8.2,1.8,4.1049999999999995,531.0166666666667,5,17,0.0005288615154086006,27201.449999999997,0,1,0
