zipcode,total_art_gallery,total_atm,total_bakery,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_cafe,total_car_dealer,total_car_repair,total_car_wash,total_clothing_store,total_convenience_store,total_department_store,total_drugstore,total_electronics_store,total_finance,total_florist,total_food,total_funeral_home,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_jewelry_store,total_laundry,total_liquor_store,total_local_government_office,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_night_club,total_park,total_parking,total_pet_store,total_pharmacy,total_restaurant,total_school,total_shoe_store,total_shopping_mall,total_spa,total_storage,total_store,total_supermarket,total_tourist_attraction,total_travel_agency,total_open_now_False,total_open_now_True,total_open_now_nan,mean_price_level,population,population_density_square_miles,housing_units,home_price_to_income_ratios,price_level*rating,rating_weighed_population_density,log_mean_user_ratings_total,log_mean_rating,log_user_ratings_total_per_capita
10460,0,0,3,2,0,0,0,9,0,1,0,5,0,1,0,0,0,0,34,0,1,0,0,6,0,2,0,2,1,0,2,0,0,0,9,1,0,1,0,0,0,0,25,0,3,0,0,0,29,1,0,0,3,38,7,1.1052631578947372,59505,45341.2,21458,15.361423360381153,4.338157894736844,177964.21000000002,5.4477246714817325,1.367366351234372,-5.546090950134808
10310,0,1,2,2,0,0,0,6,0,2,0,4,3,0,2,0,1,0,34,0,1,0,0,4,0,0,3,1,0,0,1,0,0,0,7,0,0,0,0,0,0,1,24,0,0,0,0,0,24,1,0,0,4,37,3,1.625,23262,12957.8,9376,6.262743955723858,6.455681818181817,51477.805454545436,5.197743357068613,1.3794528293031736,-4.856833049830371
11369,0,0,1,1,0,0,0,2,0,0,0,2,5,0,1,1,0,0,33,0,0,0,0,6,0,1,1,3,0,0,2,1,0,0,12,1,0,0,0,0,0,0,22,0,0,0,0,0,21,2,0,0,5,32,3,1.375,34118,31291.4,12931,10.47652482400547,5.7096874999999985,129937.53849999998,5.395103728985724,1.4237105625053126,-5.042476654254741
11418,0,0,1,4,0,1,0,3,0,0,0,0,1,0,0,1,0,0,21,0,1,0,0,6,0,1,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,13,0,0,0,0,0,13,2,0,0,4,21,0,1.6666666666666667,38517,23607.6,11769,7.848880877272045,6.8533333333333335,97074.4512,5.648128810465367,1.413909528152864,-4.910726170793827
11360,0,0,1,2,0,0,0,2,0,0,0,7,3,1,0,0,1,0,13,0,2,0,0,1,0,0,0,2,3,0,1,0,0,0,1,2,0,0,0,0,0,0,9,0,5,0,0,0,20,0,0,0,2,24,1,1.7894736842105263,19621,14080.8,9501,6.057511546406108,6.780116959064327,53350.58666666666,5.197473384948577,1.3320728069532517,-4.686882315271525
11374,0,0,4,8,0,0,0,10,0,2,0,5,6,4,2,2,2,0,36,0,3,0,0,1,0,1,2,4,1,0,0,0,1,0,3,2,0,1,0,0,0,0,24,0,1,1,0,0,28,0,0,0,3,46,0,1.6756756756756757,42653,45228.0,20974,5.721885340637419,6.771097628240487,182758.0408163266,6.153080007375825,1.396446732583909,-4.507772883046813
11413,0,0,3,2,0,0,0,1,0,0,0,3,1,0,0,1,1,1,19,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,16,0,1,0,0,0,15,0,0,0,1,25,1,1.3529411764705883,42443,13672.9,13115,5.175849126546499,5.020915032679738,50741.6511111111,5.716905861625382,1.3113313226464351,-4.939011416634416
11229,0,0,8,2,0,1,0,14,0,0,0,6,6,2,4,3,0,0,42,0,1,0,0,2,0,2,4,2,1,0,0,0,0,0,9,1,0,0,0,0,0,0,30,0,1,0,0,0,34,1,0,0,1,52,2,1.5135135135135136,83615,38722.5,33104,9.99457887733478,5.924717444717445,151580.9863636364,5.478135793123873,1.3646992191378466,-5.855842415691351
11005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2.0,1749,9533.7,1613,10.424967853571033,3.7,17637.345,1.5040773967762742,0.6151856390902335,-5.962722078242328
10024,0,0,5,13,0,1,1,18,0,0,0,6,5,0,2,1,0,1,45,0,1,0,0,0,0,1,3,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,27,0,0,0,0,0,35,0,0,0,4,53,0,2.0,59001,68752.4,34032,11.699881520187136,8.221052631578948,282608.5494736842,6.0116540964441985,1.4135510776791997,-4.973655575452565
