Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
90001,"$38,521 ","58,975","16,838.60","14,294","$336,100 "
90002,"$35,410 ","53,111","17,345.10","13,334","$306,000 "
90003,"$37,226 ","72,741","20,483.30","18,137","$327,700 "
90004,"$48,754 ","61,586","20,204.80","24,883","$1,014,000 "
90005,"$35,149 ","39,479","36,419.60","17,818","$734,200 "
90006,"$35,411 ","61,698","32,137.80","20,880","$585,300 "
90007,"$25,226 ","41,716","16,908.70","12,914","$580,700 "
90008,"$39,907 ","31,739","8,640.90","16,087","$636,500 "
90010,"$61,849 ","3,702","8,095.10","2,294","$876,800 "
90011,"$36,954 ","109,414","25,528.80","25,200","$350,500 "
90012,"$42,275 ","35,913","11,099.60","13,452","$495,400 "
90013,"$21,676 ","11,937","17,791.90","8,226","$567,700 "
90014,"$35,857 ","8,335","29,433.50","6,115","$545,900 "
90015,"$39,016 ","21,801","12,744.70","10,609","$653,300 "
90016,"$46,680 ","46,581","12,842.60","18,331","$524,700 "
90017,"$31,423 ","26,728","36,800.80","12,036","$626,400 "
90018,"$41,768 ","53,256","18,390.20","17,444","$507,200 "
90019,"$52,625 ","66,245","17,038.00","26,383","$857,000 "
90020,"$46,504 ","39,102","34,594.20","18,501","$600,400 "
90021,"$15,149 ","2,922","1,411.30","2,059","$890,600 "
90022,"$43,366 ","65,890","15,037.80","18,328","$373,600 "
90023,"$41,308 ","46,780","11,074.40","12,038","$393,000 "
90024,"$63,306 ","50,288","17,125.50","19,444","$1,173,700 "
90025,"$83,655 ","47,967","18,669.50","23,329","$813,200 "
90026,"$60,820 ","69,589","16,474.80","27,514","$777,700 "
90027,"$64,091 ","44,686","5,493.80","23,848","$1,071,700 "
90028,"$43,998 ","30,734","20,162.90","19,555","$727,600 "
90029,"$39,562 ","37,898","27,830.50","15,214","$671,800 "
90031,"$44,343 ","38,535","11,158.60","12,281","$481,900 "
