Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Per capita income in the past 12 months (in 2018 Inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
10001,"$88,526 ","$84,765 ","22,924","37,306.60","14,141","$343,400 "
10002,"$35,859 ","$32,694 ","74,993","85,369.80","35,724","$665,200 "
10003,"$112,131 ","$92,781 ","54,682","94,859.60","30,876","$1,001,200 "
10004,"$157,645 ","$122,165 ","3,028","5,622.90","2,139","$1,640,600 "
10005,"$173,333 ","$106,702 ","8,831","121,496.40","5,585","$1,415,400 "
10006,"$176,250 ","$114,611 ","3,454","37,014.10","2,343","$1,140,400 "
10007,"$246,813 ","$147,547 ","7,023","44,029.00","3,366","$2,000,001 "
10009,"$61,548 ","$51,655 ","57,925","93,905.60","31,293","$608,300 "
10010,"$117,923 ","$93,605 ","33,730","88,379.60","18,535","$788,200 "
10011,"$128,613 ","$121,991 ","50,472","76,262.90","33,707","$964,200 "
10012,"$109,037 ","$90,389 ","23,411","72,416.20","14,052","$1,669,400 "
10013,"$105,442 ","$111,109 ","28,709","52,176.50","14,144","$2,000,001 "
10014,"$126,601 ","$123,235 ","30,738","55,916.60","21,531","$1,089,100 "
10016,"$117,004 ","$98,378 ","51,057","95,951.40","34,638","$775,800 "
10017,"$127,506 ","$111,185 ","15,801","49,849.90","12,650","$637,300 "
10018,"$108,914 ","$86,150 ","9,687","30,002.00","5,940","$743,600 "
10019,"$98,833 ","$97,327 ","43,703","62,718.50","33,077","$917,700 "
10021,"$118,289 ","$121,529 ","46,215","121,297.40","30,729","$1,238,500 "
10022,"$135,363 ","$146,464 ","31,125","72,810.30","24,206","$928,400 "
10023,"$130,452 ","$119,276 ","62,435","127,409.50","41,492","$1,124,500 "
10024,"$131,668 ","$123,179 ","59,001","68,752.40","34,032","$1,540,500 "
10025,"$85,930 ","$72,802 ","92,805","123,470.60","48,359","$1,021,400 "
10026,"$58,884 ","$41,556 ","39,363","118,443.80","17,091","$835,000 "
10027,"$46,113 ","$32,087 ","64,548","74,280.20","26,506","$689,200 "
10028,"$125,140 ","$120,002 ","47,793","152,562.20","28,983","$1,218,300 "
10029,"$34,016 ","$29,103 ","79,597","98,058.80","34,108","$693,200 "
10030,"$37,232 ","$32,614 ","29,882","107,115.20","13,940","$606,500 "
10031,"$49,891 ","$29,111 ","60,254","92,805.80","23,802","$417,000 "
10032,"$50,391 ","$25,183 ","64,264","98,152.90","22,574","$499,600 "
10033,"$58,614 ","$27,673 ","59,607","99,980.20","20,794","$495,800 "
10034,"$54,716 ","$28,411 ","42,910","39,355.30","16,650","$342,600 "
10035,"$30,081 ","$22,799 ","35,743","25,093.70","15,531","$592,800 "
10036,"$91,936 ","$80,259 ","27,428","62,443.40","19,779","$976,900 "
10037,"$45,041 ","$30,750 ","21,139","82,131.90","10,583","$422,100 "
10038,"$86,058 ","$65,330 ","22,800","76,365.60","11,720","$787,400 "
10039,"$39,653 ","$26,427 ","27,726","63,397.40","11,939","$458,900 "
10040,"$47,137 ","$25,371 ","44,571","116,782.20","17,282","$394,500 "
10044,"$100,441 ","$52,767 ","11,682","50,775.40","5,427","$692,000 "
10065,"$127,375 ","$129,810 ","28,109","73,936.20","21,156","$1,548,500 "
10069,"$110,625 ","$113,446 ","5,085","52,882.60","3,402","$2,000,001 "
10075,"$137,146 ","$120,658 ","21,556","117,012.20","12,599","$1,050,600 "
10128,"$114,010 ","$103,677 ","59,256","127,237.00","34,790","$1,022,400 "
10280,"$169,844 ","$110,785 ","9,384","81,760.20","5,234","$910,500 "
10301,"$55,802 ","$31,347 ","38,733","10,918.00","16,366","$454,600 "
10302,"$64,103 ","$27,428 ","18,204","15,312.20","6,877","$377,500 "
10303,"$62,558 ","$24,065 ","25,947","8,253.80","9,175","$333,200 "
10304,"$52,199 ","$31,436 ","41,064","11,014.60","15,972","$471,400 "
10305,"$76,489 ","$31,731 ","42,298","10,631.30","16,068","$440,500 "
10306,"$79,569 ","$36,961 ","53,142","7,109.40","21,594","$480,900 "
10307,"$80,893 ","$39,923 ","15,232","8,280.80","5,541","$662,600 "
10308,"$93,963 ","$38,608 ","30,186","15,330.90","11,294","$494,000 "
10309,"$103,175 ","$41,982 ","33,531","5,037.60","11,875","$570,200 "
10310,"$72,093 ","$32,884 ","23,262","12,957.80","9,376","$451,500 "
10312,"$95,064 ","$39,200 ","61,741","8,143.60","22,465","$518,000 "
10314,"$86,742 ","$36,201 ","90,761","6,634.50","33,268","$485,300 "
10451,"$28,921 ","$20,815 ","47,798","46,447.40","19,884","$135,600 "
10452,"$28,277 ","$14,712 ","76,078","76,975.80","27,121","$238,000 "
10453,"$25,275 ","$13,993 ","79,606","86,902.90","28,530","$427,200 "
10454,"$21,149 ","$13,394 ","38,203","36,451.70","13,942","$430,200 "
10455,"$26,801 ","$15,012 ","42,283","59,295.00","15,066","$330,000 "
10456,"$27,106 ","$15,315 ","94,218","92,585.00","32,349","$345,200 "
10457,"$27,420 ","$15,091 ","74,554","70,392.00","25,867","$376,600 "
10458,"$33,932 ","$16,992 ","83,960","83,517.60","29,042","$383,400 "
10459,"$27,687 ","$15,770 ","48,351","58,950.10","17,792","$389,400 "
10460,"$26,866 ","$15,344 ","59,505","45,341.20","21,458","$412,700 "
10461,"$56,612 ","$28,845 ","50,348","21,026.20","20,277","$451,100 "
10462,"$52,409 ","$25,705 ","76,756","52,066.90","31,120","$300,000 "
10463,"$58,551 ","$34,911 ","71,360","49,208.90","29,973","$287,400 "
10464,"$93,365 ","$49,875 ","4,434","1,277.00","2,157","$531,800 "
10465,"$74,796 ","$34,284 ","44,205","13,012.40","16,842","$462,100 "
10466,"$51,477 ","$24,043 ","72,479","35,994.60","25,110","$422,700 "
10467,"$37,015 ","$19,100 ","103,732","44,413.50","38,530","$335,400 "
10468,"$36,046 ","$17,454 ","78,647","73,450.80","27,515","$194,000 "
10469,"$63,652 ","$25,877 ","73,870","29,873.70","23,659","$438,900 "
10470,"$57,160 ","$31,829 ","15,432","10,792.20","6,404","$424,400 "
10471,"$85,707 ","$49,313 ","21,896","8,515.10","9,668","$345,500 "
10472,"$30,977 ","$16,098 ","68,796","65,283.50","23,392","$451,900 "
10473,"$41,638 ","$22,755 ","59,609","27,869.90","21,955","$381,600 "
10474,"$25,493 ","$13,667 ","12,127","7,928.80","4,067","$427,800 "
10475,"$50,832 ","$28,976 ","43,208","25,123.60","19,080","$27,600 "
11004,"$92,657 ","$38,823 ","15,234","16,044.70","5,359","$523,700 "
11005,"$62,993 ","$64,070 ","1,749","9,533.70","1,613","$656,700 "
11101,"$65,392 ","$46,327 ","30,043","11,539.20","16,814","$924,200 "
11102,"$64,067 ","$38,734 ","30,800","39,056.50","16,259","$614,000 "
11103,"$71,437 ","$39,470 ","36,140","50,794.40","18,016","$792,600 "
11104,"$61,269 ","$37,008 ","26,119","67,304.00","12,690","$478,100 "
11105,"$73,959 ","$40,501 ","37,382","22,221.80","17,396","$808,700 "
11106,"$63,703 ","$37,016 ","38,363","44,876.40","19,074","$571,400 "
11109,"$148,590 ","$87,893 ","5,981","120,172.50","4,066","$797,400 "
11201,"$124,996 ","$83,309 ","62,823","44,643.30","30,741","$915,900 "
11203,"$51,277 ","$25,917 ","75,451","35,174.80","30,926","$447,400 "
11204,"$49,785 ","$22,425 ","76,978","48,471.80","25,732","$825,500 "
11205,"$56,708 ","$31,851 ","46,064","48,748.80","17,664","$715,000 "
11206,"$36,404 ","$22,147 ","88,349","61,590.70","32,775","$655,200 "
11207,"$37,243 ","$20,285 ","91,972","34,421.00","37,265","$470,400 "
11208,"$40,733 ","$19,195 ","98,660","27,577.50","36,961","$466,200 "
11209,"$72,314 ","$43,049 ","67,809","31,953.00","33,223","$753,600 "
11210,"$65,900 ","$30,110 ","67,040","40,836.50","24,128","$623,100 "
11211,"$71,225 ","$42,580 ","102,624","44,382.00","42,322","$1,002,900 "
11212,"$26,239 ","$18,772 ","76,527","49,732.10","34,885","$425,400 "
11213,"$41,710 ","$23,547 ","66,295","60,798.80","27,467","$776,300 "
11214,"$54,041 ","$25,960 ","92,946","42,853.40","33,770","$711,400 "
11215,"$123,583 ","$70,556 ","70,156","32,256.20","30,920","$1,138,500 "
11216,"$61,121 ","$38,741 ","56,308","60,233.50","27,273","$1,073,700 "
11217,"$107,362 ","$67,630 ","41,407","55,210.70","19,287","$1,163,200 "
11218,"$69,415 ","$31,494 ","74,508","52,159.70","26,025","$751,100 "
11219,"$39,295 ","$16,398 ","90,036","60,750.60","27,060","$864,700 "
11220,"$47,079 ","$20,151 ","95,643","54,809.20","30,370","$827,800 "
11221,"$50,153 ","$27,350 ","83,835","60,603.80","34,797","$784,600 "
11222,"$85,111 ","$51,177 ","36,492","23,779.00","18,656","$818,200 "
11223,"$50,108 ","$26,454 ","81,789","39,441.70","30,438","$752,200 "
11224,"$33,131 ","$22,454 ","46,707","29,449.70","20,334","$386,400 "
